Start state index,Action index,Finish state index,Probability for Triple,Reward for Triple,Prob x Reward
41,0.017857107142874997,7.6666666666666625,2.511007853333333,0.1369044880953749,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 0, 3, 0, 18, 2, 18, 2, 18]"
42,0.010204051020438774,7.166667833334501,1.7402814587733344,0.07312904421788266,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 2, 15, 0, 15, 0, 15, 2, 15]"
43,0.035714214285749994,7.33333333333333,2.5110078533333335,0.26190423809549984,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 2, 3, 0, 18, 2, 18, 2, 18]"
44,0.0025510127551096936,8.500001166667833,1.8535069137066678,0.021683611394616917,"[19, 0, 19, 0, 9, 2, 13, 0, 8, 0, 15, 2, 15, 0, 15, 0, 15, 0, 15, 0, 11, 0, 23, 2, 23]"
45,0.017857107142874997,7.666666666666663,2.5110078533333335,0.13690448809537492,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 2, 3, 0, 3, 0, 18, 2, 18]"
46,0.005102025510219387,8.1666678333345,1.8289309137066678,0.041666547619160714,"[19, 0, 19, 0, 9, 2, 13, 0, 8, 2, 8, 2, 8, 0, 15, 0, 15, 0, 15, 0, 11, 0, 23, 2, 23]"
47,0.005102025510219387,7.500001166667835,1.7402814587733346,0.03826519727901446,"[19, 0, 19, 0, 9, 2, 13, 2, 13, 0, 8, 2, 8, 0, 15, 2, 15, 0, 15, 0, 15, 2, 15, 0, 11]"
48,0.035714214285749994,7.33333333333333,2.4017811866666667,0.26190423809549984,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 2, 16, 0, 3, 0, 18, 2, 18, 2, 18]"
49,0.035714214285749994,7.000000000000002,2.511007853333334,0.24999950000025004,"[19, 0, 9, 2, 22, 0, 16, 2, 16, 0, 3, 2, 3, 0, 3, 2, 3, 0, 3]"
50,0.017857125,6.992062666666665,2.354728415755299,0.12485813704649998,"[19, 0, 1, 0, 2, 2, 14, 0, 14, 0, 21, 2, 21, 0, 0, 2, 0, 0, 17, 2, 17, 2, 17]"
51,0.00446428125,7.6984116666666695,2.3508420180586165,0.034367874858281265,"[19, 0, 1, 0, 2, 2, 14, 0, 21, 0, 21, 0, 21, 0, 21, 0, 0, 2, 0, 0, 17, 2, 17]"
52,0.017857125,6.9920626666666665,2.3508420180586165,0.1248581370465,"[19, 0, 1, 0, 2, 2, 14, 0, 21, 2, 21, 0, 21, 2, 21, 0, 0, 2, 0, 0, 17, 2, 17]"
53,0.035714214285749994,7.000000000000001,2.5110078533333335,0.24999950000024998,"[19, 0, 9, 2, 6, 0, 16, 2, 16, 0, 3, 0, 3, 2, 3, 2, 3, 0, 3]"
